Read new prefs: /home/juan/.config/blender/2.76/config/userpref.blend
read blend: /home/juan/Documents/William/William.blend
Dependency cycle detected:
  Plane.001 depends on Cube.001 through Cloth Collision.
  Cube.001 depends on Plane.001 through Field Collision.

Fra:0 Mem:103.90M (0.00M, Peak 371.19M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Plane.003
Fra:0 Mem:103.90M (0.00M, Peak 371.19M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Plane.002
Fra:0 Mem:103.90M (0.00M, Peak 371.19M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Lamp.002
Fra:0 Mem:103.90M (0.00M, Peak 371.19M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Lamp.001
Fra:0 Mem:103.90M (0.00M, Peak 371.19M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Plane
Fra:0 Mem:103.91M (0.00M, Peak 371.19M) | Time:00:00.27 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Text
Fra:0 Mem:111.42M (0.00M, Peak 371.19M) | Time:00:00.29 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Plane.001
Fra:0 Mem:113.71M (0.00M, Peak 371.19M) | Time:00:00.30 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Cube.001
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.80 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Camera
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.80 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Initializing
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.80 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Loading render kernels (may take a few minutes the first time)
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.81 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Waiting for render to start
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.81 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Scene
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.81 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Shaders
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.99 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Background
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.99 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Camera
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.99 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Objects
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:00.99 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Objects | Copying Transformations to device
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.00 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Objects | Applying Static Transformations
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.00 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Meshes Flags
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.00 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Meshes
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.01 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Mesh | Computing normals
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.02 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Mesh | Copying Mesh to device
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.02 | Mem:11.52M, Peak:11.52M | Scene, RenderLayer | Updating Mesh | Computing attributes
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.03 | Mem:11.52M, Peak:11.52M | Scene, RenderLayer | Updating Mesh | Copying Attributes to device
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.03 | Mem:26.29M, Peak:26.29M | Scene, RenderLayer | Updating Scene BVH | Building
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.03 | Mem:26.29M, Peak:26.29M | Scene, RenderLayer | Updating Scene BVH | Building BVH
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.30 | Mem:26.29M, Peak:26.29M | Scene, RenderLayer | Updating Scene BVH | Packing BVH triangles and strands
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.32 | Mem:26.29M, Peak:26.29M | Scene, RenderLayer | Updating Scene BVH | Packing BVH nodes
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.35 | Mem:26.29M, Peak:26.29M | Scene, RenderLayer | Updating Scene BVH | Copying BVH to device
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.36 | Mem:52.74M, Peak:52.74M | Scene, RenderLayer | Updating Objects Flags
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.36 | Mem:52.74M, Peak:52.74M | Scene, RenderLayer | Updating Images
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.36 | Mem:52.74M, Peak:52.74M | Scene, RenderLayer | Updating Images | Loading wood_texture.jpg
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.38M, Peak:55.38M | Scene, RenderLayer | Updating Camera Volume
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.38M, Peak:55.38M | Scene, RenderLayer | Updating Hair Systems
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.38M, Peak:55.38M | Scene, RenderLayer | Updating Hair settings | Copying Hair settings to device
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.38M, Peak:55.38M | Scene, RenderLayer | Updating Lookup Tables
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.63M, Peak:55.63M | Scene, RenderLayer | Updating Lights
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.63M, Peak:55.63M | Scene, RenderLayer | Updating Lights | Computing distribution
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.63M, Peak:55.63M | Scene, RenderLayer | Updating Particle Systems
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.63M, Peak:55.63M | Scene, RenderLayer | Updating Particle Systems | Copying Particles to device
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.63M, Peak:55.63M | Scene, RenderLayer | Updating Film
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.63M, Peak:55.63M | Scene, RenderLayer | Updating Integrator
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.65M, Peak:55.65M | Scene, RenderLayer | Updating Lookup Tables
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.65M, Peak:55.65M | Scene, RenderLayer | Updating Baking
Fra:0 Mem:173.28M (0.00M, Peak 371.19M) | Time:00:01.38 | Mem:55.65M, Peak:55.65M | Scene, RenderLayer | Updating Device | Writing constant memory
Fra:113 Mem:375.41M (0.00M, Peak 547.78M) | Time:02:33.53 | Mem:108.67M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 12/12, Sample 100/100
Fra:113 Mem:375.41M (0.00M, Peak 547.78M) | Time:02:33.53 | Mem:108.67M, Peak:110.92M | Scene, RenderLayer | Finished
Fra:113 Mem:375.40M (0.00M, Peak 547.78M) | Time:02:33.57 | Sce: Scene Ve:0 Fa:0 La:0
Saved: /home/juan/Documents/William/0113.png
 Time: 02:33.76 (Saving: 00:00.18)

Fra:114 Mem:400.67M (0.00M, Peak 547.78M) | Time:01:01.74 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Plane.003
Fra:114 Mem:400.67M (0.00M, Peak 547.78M) | Time:01:01.74 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Plane.002
Fra:114 Mem:400.67M (0.00M, Peak 547.78M) | Time:01:01.74 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Lamp.002
Fra:114 Mem:400.67M (0.00M, Peak 547.78M) | Time:01:01.74 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Lamp.001
Fra:114 Mem:400.67M (0.00M, Peak 547.78M) | Time:01:01.74 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Plane
Fra:114 Mem:400.67M (0.00M, Peak 547.78M) | Time:01:01.74 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Text
Fra:114 Mem:400.67M (0.00M, Peak 547.78M) | Time:01:01.75 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Plane.001
Fra:114 Mem:400.67M (0.00M, Peak 547.78M) | Time:01:01.75 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Cube.001
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:02.69 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | Camera
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:02.69 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Initializing
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:02.69 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Loading render kernels (may take a few minutes the first time)
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:02.71 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Waiting for render to start
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:02.71 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Scene
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:02.71 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Shaders
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:02.85 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Background
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:02.85 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Camera
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:02.85 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Objects
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:02.85 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Objects | Copying Transformations to device
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:02.88 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Objects | Applying Static Transformations
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:02.88 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Meshes Flags
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:02.88 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Meshes
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:02.91 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Mesh | Computing normals
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:02.92 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Updating Mesh | Copying Mesh to device
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:02.93 | Mem:24.21M, Peak:24.21M | Scene, RenderLayer | Updating Mesh | Computing attributes
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:02.94 | Mem:24.21M, Peak:24.21M | Scene, RenderLayer | Updating Mesh | Copying Attributes to device
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:02.95 | Mem:54.36M, Peak:54.36M | Scene, RenderLayer | Updating Scene BVH | Building
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:02.95 | Mem:54.36M, Peak:54.36M | Scene, RenderLayer | Updating Scene BVH | Building BVH
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:03.26 | Mem:54.36M, Peak:54.36M | Scene, RenderLayer | Updating Scene BVH | Building BVH 32%, duplicates 0%
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:03.47 | Mem:54.36M, Peak:54.36M | Scene, RenderLayer | Updating Scene BVH | Packing BVH triangles and strands
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:03.51 | Mem:54.36M, Peak:54.36M | Scene, RenderLayer | Updating Scene BVH | Packing BVH nodes
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:03.57 | Mem:54.36M, Peak:54.36M | Scene, RenderLayer | Updating Scene BVH | Copying BVH to device
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:03.58 | Mem:105.76M, Peak:105.76M | Scene, RenderLayer | Updating Objects Flags
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:03.58 | Mem:105.76M, Peak:105.76M | Scene, RenderLayer | Updating Images
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:03.58 | Mem:105.76M, Peak:105.76M | Scene, RenderLayer | Updating Images | Loading wood_texture.jpg
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:03.60 | Mem:108.39M, Peak:108.39M | Scene, RenderLayer | Updating Camera Volume
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:03.60 | Mem:108.39M, Peak:108.39M | Scene, RenderLayer | Updating Hair Systems
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:03.60 | Mem:108.39M, Peak:108.39M | Scene, RenderLayer | Updating Hair settings | Copying Hair settings to device
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:03.60 | Mem:108.39M, Peak:108.39M | Scene, RenderLayer | Updating Lookup Tables
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:03.60 | Mem:108.64M, Peak:108.64M | Scene, RenderLayer | Updating Lights
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:03.60 | Mem:108.64M, Peak:108.64M | Scene, RenderLayer | Updating Lights | Computing distribution
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:03.60 | Mem:108.64M, Peak:108.64M | Scene, RenderLayer | Updating Particle Systems
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:03.60 | Mem:108.64M, Peak:108.64M | Scene, RenderLayer | Updating Particle Systems | Copying Particles to device
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:03.60 | Mem:108.64M, Peak:108.64M | Scene, RenderLayer | Updating Film
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:03.60 | Mem:108.64M, Peak:108.64M | Scene, RenderLayer | Updating Integrator
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:03.60 | Mem:108.67M, Peak:108.67M | Scene, RenderLayer | Updating Lookup Tables
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:03.60 | Mem:108.67M, Peak:108.67M | Scene, RenderLayer | Updating Baking
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:03.60 | Mem:108.67M, Peak:108.67M | Scene, RenderLayer | Updating Device | Writing constant memory
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:03.60 | Mem:108.67M, Peak:108.67M | Scene, RenderLayer | Path Tracing Tile 0/12, Sample 0/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:03.60 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 0/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:04.68 | Remaining:03:32.90 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 11/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:05.71 | Remaining:02:48.47 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 21/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:06.74 | Remaining:02:32.02 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 31/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:07.77 | Remaining:02:23.11 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 41/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:08.85 | Remaining:02:18.27 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 51/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:09.86 | Remaining:02:15.86 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 60/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:10.92 | Remaining:02:12.53 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 70/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:11.92 | Remaining:02:08.96 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 80/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:12.93 | Remaining:02:06.07 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 90/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:13.95 | Remaining:02:03.60 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 1/12, Sample 100/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:13.95 | Remaining:02:03.66 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 0/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:15.01 | Remaining:02:01.83 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 10/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:16.10 | Remaining:02:00.50 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 20/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:17.11 | Remaining:01:59.49 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 29/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:18.21 | Remaining:01:58.28 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 39/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:19.27 | Remaining:01:57.70 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 48/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:20.38 | Remaining:01:57.35 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 57/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:21.44 | Remaining:01:56.63 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 66/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:22.48 | Remaining:01:55.78 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 75/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:23.49 | Remaining:01:54.01 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 85/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:24.53 | Remaining:01:53.13 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 94/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:25.17 | Remaining:01:52.30 | Mem:108.67M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 2/12, Sample 100/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:25.18 | Remaining:01:52.32 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 0/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:25.54 | Remaining:01:51.44 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 4/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:26.59 | Remaining:01:49.40 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 15/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:27.67 | Remaining:01:47.58 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 26/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:28.70 | Remaining:01:46.15 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 36/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:29.75 | Remaining:01:44.86 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 46/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:30.78 | Remaining:01:44.00 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 55/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:31.81 | Remaining:01:43.17 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 64/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:32.86 | Remaining:01:41.89 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 74/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:33.93 | Remaining:01:39.75 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 86/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:34.96 | Remaining:01:38.50 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 96/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:35.34 | Remaining:01:37.88 | Mem:108.67M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 3/12, Sample 100/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:35.34 | Remaining:01:37.89 | Mem:110.36M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 4/12, Sample 0/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:36.01 | Remaining:01:36.00 | Mem:110.36M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 4/12, Sample 9/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:37.03 | Remaining:01:33.18 | Mem:110.36M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 4/12, Sample 23/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:38.04 | Remaining:01:30.83 | Mem:110.36M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 4/12, Sample 36/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:39.11 | Remaining:01:28.74 | Mem:110.36M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 4/12, Sample 49/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:40.19 | Remaining:01:27.09 | Mem:110.36M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 4/12, Sample 61/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:41.20 | Remaining:01:25.01 | Mem:110.36M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 4/12, Sample 74/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:42.24 | Remaining:01:22.40 | Mem:110.36M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 4/12, Sample 89/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:43.05 | Remaining:01:20.67 | Mem:108.67M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 4/12, Sample 100/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:43.05 | Remaining:01:20.67 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 5/12, Sample 0/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:43.26 | Remaining:01:20.48 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 5/12, Sample 2/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:44.28 | Remaining:01:19.51 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 5/12, Sample 12/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:45.33 | Remaining:01:18.57 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 5/12, Sample 22/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:46.39 | Remaining:01:17.64 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 5/12, Sample 32/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:47.47 | Remaining:01:16.48 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 5/12, Sample 43/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:48.55 | Remaining:01:15.86 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 5/12, Sample 52/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:49.63 | Remaining:01:15.21 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 5/12, Sample 61/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:50.70 | Remaining:01:14.27 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 5/12, Sample 71/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:51.78 | Remaining:01:13.09 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 5/12, Sample 82/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:52.81 | Remaining:01:11.83 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 5/12, Sample 93/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:53.53 | Remaining:01:11.14 | Mem:108.67M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 5/12, Sample 100/100
Fra:114 Mem:375.94M (0.00M, Peak 548.32M) | Time:01:53.54 | Remaining:01:11.15 | Mem:110.92M, Peak:110.92M | Scene, RenderLayer | Path Tracing Tile 6/12, Sample 0/100
